date,AAPL,AMZN,FB,GOOG,NFLX
2015-01-02,101.1385,308.52,78.45,524.81,49.8485
2015-01-05,98.2893,302.19,77.19,513.87,47.3114
2015-01-06,98.2985,295.29,76.15,501.96,46.5014
2015-01-07,99.6769,298.42,76.15,501.1,46.7428
2015-01-08,103.5067,300.46,78.175,502.68,47.7792
2015-01-09,103.6177,296.93,77.74,496.17,47.0414
2015-01-12,101.0645,291.41,76.72,492.55,45.5471
2015-01-13,101.9618,294.74,76.45,496.18,46.2557
2015-01-14,101.5733,293.27,76.28,500.87,46.32
2015-01-15,98.8166,286.95,74.05,501.79,46.2514
2015-01-16,98.0488,290.74,75.18,508.08,48.1914
2015-01-20,100.5742,289.44,76.24,506.9,49.8285
2015-01-21,101.342,297.25,76.74,518.04,58.4685
2015-01-22,103.9785,310.32,77.65,534.39,61.2057
2015-01-23,104.5151,312.39,77.83,539.95,62.4935
2015-01-26,104.6261,309.66,77.495,535.21,63.7942
2015-01-27,100.9628,306.75,75.78,518.63,64.8814
2015-01-28,106.6705,303.91,76.24,510.0,63.2085
2015-01-29,109.9915,311.78,78.0,510.66,63.3999
2015-01-30,108.3819,354.53,75.91,534.52,63.1142
2015-02-02,109.7417,364.47,74.99,528.48,63.0092
2015-02-03,109.7602,363.55,75.4,529.24,65.2742
2015-02-04,110.6021,364.75,75.63,522.76,64.1014
2015-02-05,111.3915,373.89,75.615,527.58,64.1299
2015-02-06,110.4534,374.28,74.47,531.0,63.4799
2015-02-09,111.1871,370.56,74.44,527.83,63.2949
2015-02-10,113.3232,372.995,75.19,536.94,64.8499
2015-02-11,115.9794,375.14,76.51,535.97,64.9842
2015-02-12,117.4468,377.17,76.23,542.93,65.2471
2015-02-13,118.0226,381.83,75.74,549.01,66.5856
2015-02-17,118.7191,375.43,75.6,542.84,67.1371
2015-02-18,119.541,373.37,76.71,539.7,67.8656
2015-02-19,119.2949,378.995,79.42,542.87,67.7999
2015-02-20,120.2654,383.66,79.895,538.95,68.3142
2015-02-23,123.5206,380.14,78.84,531.91,67.4056
2015-02-24,122.7498,378.59,78.45,536.09,67.8399
2015-02-25,119.6107,385.37,79.56,543.87,68.3328
2015-02-26,121.1199,384.8,80.41,555.48,69.0042
2015-02-27,119.3042,380.16,78.97,558.4,67.8442
2015-03-02,119.8893,385.655,79.75,571.34,68.6071
2015-03-03,120.1401,384.61,79.6,573.64,67.8156
2015-03-04,119.3785,382.72,80.895,573.37,67.1099
2015-03-05,117.4003,387.83,81.21,575.33,66.8071
2015-03-06,117.5768,380.09,80.005,567.685,64.8742
2015-03-09,118.0783,378.56,79.44,568.85,63.6614
2015-03-10,115.6357,369.51,77.55,555.01,62.1514
2015-03-11,113.5275,366.37,77.57,551.18,62.8842
2015-03-12,115.58,374.24,78.93,555.51,64.0456
2015-03-13,114.7813,370.58,78.05,547.32,62.6285
2015-03-16,116.0444,373.35,78.07,554.51,60.2814
2015-03-17,117.9854,371.92,79.365,550.84,59.7885
2015-03-18,119.3135,375.135,80.91,559.5,60.4457
2015-03-19,118.408,373.24,82.75,557.99,60.7442
2015-03-20,116.9267,378.49,83.8,560.36,61.1849
2015-03-23,118.1433,375.11,84.43,558.81,60.7142
2015-03-24,117.6604,374.09,85.31,570.19,62.6114
2015-03-25,114.5863,370.96,82.92,558.785,60.2499
2015-03-26,115.385,367.35,83.01,555.17,59.7514
2015-03-27,114.4655,370.56,83.3,548.34,59.2528
2015-03-30,117.3632,374.59,83.195,552.03,60.3671
2015-03-31,115.5614,372.1,82.215,548.0,59.5271
2015-04-01,115.3943,370.255,81.665,542.56,59.0171
2015-04-02,116.388,372.25,81.555,535.53,59.1542
