Dates,IUSN,SWDA,EXXT,WCLD,QDVE,WFIN,WCOS,WCOD,WNRG,EXS1,ISF,IGLT,EUNX,IBTS,IBTM,IEMB,EMBE,QDVK,QDVH,VOLT,2B70,DGTL,2B77,RBOT,HEAL,IH2O,ECAR,CEMG,SMH,CSNKY,EUNI,IUS3,DJSC,DAVV,EXV5,EXV1,L0CK,ESP0,AGGH,LQDE,HYLD,WELL,ITEK,UNIC,IWQU,IWSZ,IWDP,HDRO,WCBR,GMVM,CBUF,AYEW,IWMO,IWVL,MVOL,IUSA,EUN2,CORP,WTEL,IEAC,IHYU,XLES,XLIS,XLBS,XLFS,XLKS,XLPS,XLVS,XLUS,XLYS,IU5C,EXV3,WMAT,WTCH,WHEA,SPYY,VWCE,EXSA,EXH1,EXV9,QDVG,IEAG,SEGA,WIND,EIMI,WTAI,INRG,MOAT,WUTI,PORT
2019-07-30,4.602,52.54,69.5,,9.154,36.695,32.695,39.2,28.86,104.14,8.249,15.088,95.224,119.18,180.75,,95.47,7.116,6.763,,4.2635,6.383,5.223,6.844,5.701,39.465,4.3375,27.12,,167.13,56.56,57.27,34.635,,45.08,12.91,4.728,18.362,5.168,106.75,86.4,7.039,7.536,,34.065,30.215,24.465,,,31.96,,,39.675,27.02,44.935,26.933,35.68,89.86,30.72,134.94,92.38,298.32,356.33,290.12,179.67,180.45,391.19,370.8,329.0,358.26,4.905,47.025,36.03,54.92,34.92,121.74,,38.34,32.26,21.99,6.025,127.37,130.78,36.755,25.0,28.265,5.508,31.955,34.66,
2019-07-31,4.642,52.62,69.72,,9.184,36.79,32.5,39.145,29.24,104.42,8.224,15.272,95.622,119.38,181.3,,95.73,7.072,6.788,,4.311,6.397,5.272,6.896,5.776,39.75,4.371,27.085,,167.65,56.87,58.4,34.665,,45.005,12.882,4.763,18.486,5.18,107.41,86.75,7.13,7.588,,34.0,30.26,24.465,,,31.965,,,39.495,27.005,44.915,26.993,35.705,90.13,30.765,135.03,92.7,302.96,357.0,290.08,180.86,181.18,389.95,370.75,328.02,356.9,4.9095,47.005,36.09,55.15,35.085,121.98,,38.345,32.395,22.035,6.047,127.72,131.22,36.81,24.98,28.3,5.622,31.895,34.63,
2019-08-01,4.655,52.96,70.36,,9.265,37.005,32.875,39.485,28.78,105.04,8.221,15.288,96.522,120.15,183.62,,95.63,7.128,6.816,,4.363,6.413,5.276,6.892,5.784,39.86,4.368,27.325,,169.0,56.98,58.3,34.825,,45.15,12.962,4.79,18.798,5.191,108.5,87.04,7.14,7.576,,34.25,30.36,24.37,,,32.42,,,39.815,27.15,45.165,27.124,35.955,90.72,31.015,135.1,93.24,299.91,357.32,292.57,181.5,181.0,390.15,373.05,328.5,359.95,4.9475,47.825,35.99,55.58,35.29,122.72,,38.58,31.97,22.13,6.072,127.83,131.33,36.94,25.065,28.355,5.745,32.2,34.895,
2019-08-02,4.494,51.28,67.17,,8.79,35.73,32.15,38.035,27.875,101.78,7.989,15.304,96.432,119.95,184.29,,95.46,6.861,6.544,,4.219,6.201,5.101,6.584,5.542,39.205,4.16,26.22,,165.55,55.05,55.92,34.32,,43.535,12.552,4.6045,18.152,5.212,108.32,86.51,6.997,7.281,,33.315,29.88,24.415,,,31.235,,,38.675,26.285,44.56,26.247,34.79,90.64,30.13,134.86,92.32,289.94,345.46,283.05,174.51,173.8,382.0,368.3,331.8,346.25,4.79,45.985,34.73,52.86,34.675,118.7,,37.53,30.975,21.61,5.952,128.01,131.73,35.695,24.06,27.2,5.607,31.535,34.87,
2019-08-05,4.3785,49.97,64.98,,8.49,34.855,31.52,37.015,27.21,99.98,7.748,15.316,96.084,119.37,184.4,,94.71,6.672,6.398,,4.11,5.954,4.954,6.352,5.343,38.155,4.0295,25.23,,162.02,52.81,54.42,33.595,,42.67,12.28,4.432,17.434,5.218,107.69,85.59,6.828,7.054,,32.525,29.02,23.85,,,30.25,,,37.785,25.62,43.82,25.566,34.115,90.21,29.24,134.59,91.13,281.85,335.84,277.78,171.25,167.93,375.64,359.58,327.45,337.44,4.639,44.585,34.05,51.0,34.04,115.56,,36.74,30.31,21.05,5.856,128.22,132.08,34.845,23.12,26.06,5.385,30.4,34.35,
2019-08-06,4.357,49.64,64.75,,8.461,34.55,31.23,36.85,26.755,99.21,7.7,15.302,96.17,119.4,184.56,,95.34,6.639,6.322,,4.0805,5.9,4.919,6.359,5.316,37.83,4.0535,25.27,,161.38,52.93,54.02,33.545,,42.495,12.208,4.4095,17.472,5.222,107.86,85.44,6.79,7.025,,32.135,28.595,23.85,,,30.08,,,37.575,25.505,43.61,25.432,33.915,90.34,29.19,134.72,91.1,277.5,334.49,272.39,169.79,167.5,369.58,360.54,322.45,335.62,4.634,44.255,33.59,50.79,33.795,114.92,,36.49,29.975,20.905,5.81,128.4,132.33,34.685,23.185,25.9,5.393,29.905,34.065,
2019-08-07,4.367,49.75,64.92,,8.499,34.38,31.455,37.12,26.55,99.8,7.713,15.414,96.194,119.23,185.47,,95.96,6.669,6.263,,4.117,5.914,4.9215,6.344,5.362,37.98,4.024,25.235,,162.0,52.98,54.28,33.55,,42.635,12.124,4.4115,17.658,5.245,108.3,85.3,6.799,6.979,,32.23,28.5,23.845,,,29.945,,,37.785,25.6,43.935,25.371,34.09,90.42,29.245,134.98,90.71,273.18,333.16,271.1,167.15,167.52,372.09,358.16,326.65,337.32,4.633,44.63,33.695,51.08,33.835,115.08,,36.645,29.69,21.21,5.808,128.92,133.33,34.715,23.14,26.0,5.532,30.035,34.305,
2019-08-08,4.4555,50.81,66.59,,8.749,35.085,32.04,37.94,27.115,101.48,7.807,15.254,96.01,118.94,184.36,,96.13,6.844,6.424,,4.202,6.044,5.008,6.519,5.481,38.645,4.0865,25.8,,163.54,54.33,55.54,33.86,,43.105,12.308,4.545,18.234,5.22,108.15,86.02,6.914,7.17,,32.78,29.2,24.195,,,30.685,,,38.54,25.815,44.635,25.989,34.75,90.41,29.69,135.29,91.53,280.61,340.92,283.14,170.62,172.06,377.55,362.54,327.5,346.48,4.72,45.75,34.635,52.51,34.52,117.46,,37.32,30.25,21.42,5.914,128.56,132.36,35.455,23.6,26.745,5.656,30.68,34.685,
2019-08-09,4.4285,50.48,66.07,,8.655,34.785,31.94,37.61,27.065,100.2,7.774,15.282,96.412,119.29,185.05,,96.38,6.792,6.383,,4.158,6.005,4.968,6.421,5.45,38.645,4.0685,25.58,,162.93,53.81,54.99,33.705,,42.075,12.08,4.461,17.858,5.241,108.38,85.67,6.867,7.184,,32.745,28.955,24.195,,,30.535,,,38.5,25.605,44.705,25.831,34.335,90.41,29.555,135.19,91.41,282.3,338.28,280.72,170.49,172.06,378.77,364.06,330.45,343.7,4.708,44.935,34.28,51.89,34.51,116.72,,36.985,29.925,21.275,5.914,128.29,131.85,35.135,23.38,26.905,5.663,30.75,34.67,
2019-08-12,4.3955,50.22,65.84,,8.618,34.495,31.825,37.23,26.805,100.08,7.731,15.272,96.348,119.08,185.26,,95.12,6.715,6.33,,4.1855,5.942,4.939,6.369,5.408,38.72,4.0335,25.38,,161.74,53.31,54.59,33.52,,41.915,11.854,4.427,17.762,5.242,108.41,85.53,6.852,7.161,,32.525,28.77,24.135,,,30.255,,,38.295,25.41,44.6,25.692,34.29,90.44,29.4,135.24,91.19,277.45,336.73,280.26,168.87,169.5,375.51,363.58,329.0,339.79,4.6805,44.82,34.055,51.66,34.47,116.08,,36.845,29.78,21.255,5.909,128.47,132.14,34.93,23.13,26.635,5.588,30.365,34.47,
